NR_SECAO;NM_LOCAL_VOTACAO
239;PRÉDIO MUNICIPAL NOVA ESPERANÇA
151;COLÉGIO PLINIO PEREIRA
268;COLÉGIO CATARINA PARAGUAÇU
193;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
236;PRÉDIO ESCOLAR MONSENHOR FLORISVALDO JOSÉ DE SOUZA
168;COLÉGIO POLIVALENTE DE MARAGOGIPE
250;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
160;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
248;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
135;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
231;PRÉDIO MUNICIPAL RECANTO VERDE
234;ESCOLA MUNICIPAL SILVIO V. MELO
180;ESCOLA ODILARDO U. RODRIGUES
146;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
150;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
248;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
174;COLÉGIO CATARINA PARAGUAÇU
215;ESCOLA ESTADUAL KLEBER PACHECO
221;ESCOLA PRÉDIO MUNICIPAL NOSSA SENHORA DA PIEDADE
212;ESCOLA ESTADUAL KLEBER PACHECO
239;PRÉDIO MUNICIPAL NOVA ESPERANÇA
199;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
244;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
241;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
139;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
141;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
216;PRÉDIO MUNICIPAL CLERALDO ANDRADE
214;ESCOLA ESTADUAL KLEBER PACHECO
128;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
146;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
251;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
139;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
183;ESCOLA ODILARDO U. RODRIGUES
191;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
167;COLÉGIO POLIVALENTE DE MARAGOGIPE
195;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
142;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
237;ASSOCIAÇÃO DOS MORADORES DO CRUZEIRO
140;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
151;COLÉGIO PLINIO PEREIRA
217;PRÉDIO MUNICIPAL CLERALDO ANDRADE
183;ESCOLA ODILARDO U. RODRIGUES
264;ESCOLA ESTADUAL KLEBER PACHECO
144;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
155;COLÉGIO PLINIO PEREIRA
237;ASSOCIAÇÃO DOS MORADORES DO CRUZEIRO
126;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
257;PRÉDIO MUNICIPAL CAMARÃO
233;ESCOLA MUNICIPAL SILVIO V. MELO
206;ESCOLA MUNICIPAL MÁRIO GORDILHO PEDREIRA
166;COLÉGIO POLIVALENTE DE MARAGOGIPE
251;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
228;ESCOLA MUNICIPAL MENELEU BATISTA SOARES
213;ESCOLA ESTADUAL KLEBER PACHECO
166;COLÉGIO POLIVALENTE DE MARAGOGIPE
200;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
268;COLÉGIO CATARINA PARAGUAÇU
162;COLÉGIO POLIVALENTE DE MARAGOGIPE
232;PRÉDIO MUNICIPAL LUÍS DA FRANÇA PIEDADE
213;ESCOLA ESTADUAL KLEBER PACHECO
224;PRÉDIO MUNICIPAL MENINO JESUS DE PRAGA
136;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
150;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
126;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
165;COLÉGIO POLIVALENTE DE MARAGOGIPE
248;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
253;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
216;PRÉDIO MUNICIPAL CLERALDO ANDRADE
224;PRÉDIO MUNICIPAL MENINO JESUS DE PRAGA
161;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
