DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;CD_PLEITO;DT_PLEITO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;NR_LOCAL_VOTACAO;CD_CARGO_PERGUNTA;DS_CARGO_PERGUNTA;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DT_BU_RECEBIDO;QT_APTOS;QT_COMPARECIMENTO;QT_ABSTENCOES;CD_TIPO_URNA;DS_TIPO_URNA;CD_TIPO_VOTAVEL;DS_TIPO_VOTAVEL;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_URNA_EFETIVADA;CD_CARGA_1_URNA_EFETIVADA;CD_CARGA_2_URNA_EFETIVADA;CD_FLASHCARD_URNA_EFETIVADA;DT_CARGA_URNA_EFETIVADA;DS_CARGO_PERGUNTA_SECAO;DS_SECOES_AGREGADAS;DT_ABERTURA;DT_ENCERRAMENTO;QT_ELEI_BIOM_SEM_HABILITACAO;DT_EMISSAO_BU;NR_JUNTA_APURADORA;NR_TURMA_APURADORA
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;2024-10-06 00:00:00;1;619;Eleições Municipais 2024;BA;37133;MARAGOGIPE;118;204;1341;11;Prefeito;-1;#NULO#;#NULO#;2024-10-06 19:29:45;325;266;59;1;Apurada;2;Branco;95;Branco;4;2212486;299.233.916.047.490.843.;260.402;19F6A232;2024-10-01 10:03:00;11 - 204;#NULO#;2024-10-06 08:00:01;2024-10-06 17:00:53;16;2024-10-06 17:04:02;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;2024-10-06 00:00:00;1;619;Eleições Municipais 2024;BA;37133;MARAGOGIPE;118;228;1457;11;Prefeito;-1;#NULO#;#NULO#;2024-10-06 19:04:22;418;394;24;1;Apurada;2;Branco;95;Branco;9;2210663;370.041.571.581.611.588.;491.303;CB9F3295;2024-10-01 08:15:00;11 - 228;272;2024-10-06 08:00:01;2024-10-06 17:08:10;11;2024-10-06 17:11:56;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;2024-10-06 00:00:00;1;619;Eleições Municipais 2024;BA;37133;MARAGOGIPE;118;199;1279;11;Prefeito;-1;#NULO#;#NULO#;2024-10-06 19:29:41;233;209;24;1;Apurada;2;Branco;95;Branco;1;2212509;976.001.687.415.683.634.;540.194;19F6A232;2024-10-01 09:55:00;11 - 199;#NULO#;2024-10-06 08:00:01;2024-10-06 17:01:22;6;2024-10-06 17:03:19;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;2024-10-06 00:00:00;1;619;Eleições Municipais 2024;BA;37133;MARAGOGIPE;118;258;1015;11;Prefeito;-1;#NULO#;#NULO#;2024-10-06 19:21:18;396;348;48;1;Apurada;2;Branco;95;Branco;2;2052757;188.122.597.662.225.151.;982.071;CB9F3295;2024-10-01 11:57:00;11 - 258;263;2024-10-06 08:00:01;2024-10-06 17:01:49;7;2024-10-06 17:02:23;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;2024-10-06 00:00:00;1;619;Eleições Municipais 2024;BA;37133;MARAGOGIPE;118;162;1147;13;Vereador;11;PP;PROGRESSISTAS;2024-10-06 19:05:35;289;256;33;1;Apurada;1;Nominal;11333;HAMILTON DIMAS;2;2209239;895.293.623.086.634.821.;775.906;1E33FA6F;2024-10-01 11:44:00;13 - 162;#NULO#;2024-10-06 08:00:01;2024-10-06 17:00:44;21;2024-10-06 17:01:55;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;2024-10-06 00:00:00;1;619;Eleições Municipais 2024;BA;37133;MARAGOGIPE;118;138;1040;13;Vereador;11;PP;PROGRESSISTAS;2024-10-06 18:22:07;397;363;34;1;Apurada;1;Nominal;11333;HAMILTON DIMAS;1;2154315;693.273.876.266.153.229.;85.575;1E33FA6F;2024-10-01 08:53:00;13 - 138;#NULO#;2024-10-06 08:00:01;2024-10-06 17:04:08;33;2024-10-06 17:06:18;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;2024-10-06 00:00:00;1;619;Eleições Municipais 2024;BA;37133;MARAGOGIPE;118;216;1414;11;Prefeito;-1;#NULO#;#NULO#;2024-10-06 18:58:35;268;248;20;1;Apurada;3;Nulo;96;Nulo;8;2212113;430.647.344.961.241.889.;365.295;19F6A232;2024-10-01 11:45:00;11 - 216;#NULO#;2024-10-06 08:00:01;2024-10-06 17:01:27;23;2024-10-06 17:02:54;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;2024-10-06 00:00:00;1;619;Eleições Municipais 2024;BA;37133;MARAGOGIPE;118;165;1147;11;Prefeito;-1;#NULO#;#NULO#;2024-10-06 19:05:38;291;257;34;1;Apurada;3;Nulo;96;Nulo;10;2153571;188.122.244.615.295.948.;176.066;1E33FA6F;2024-10-01 11:58:00;11 - 165;#NULO#;2024-10-06 08:00:01;2024-10-06 17:06:14;29;2024-10-06 17:11:53;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;2024-10-06 00:00:00;1;619;Eleições Municipais 2024;BA;37133;MARAGOGIPE;118;167;1147;11;Prefeito;-1;#NULO#;#NULO#;2024-10-06 19:08:33;288;246;42;1;Apurada;3;Nulo;96;Nulo;4;2235040;248.728.527.821.011.261.;190.712;1E33FA6F;2024-10-01 12:08:00;11 - 167;#NULO#;2024-10-06 08:00:01;2024-10-06 17:07:22;39;2024-10-06 17:10:18;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;2024-10-06 00:00:00;1;619;Eleições Municipais 2024;BA;37133;MARAGOGIPE;118;129;1015;11;Prefeito;-1;#NULO#;#NULO#;2024-10-06 19:21:14;279;239;40;1;Apurada;3;Nulo;96;Nulo;7;2155144;440.748.665.641.962.772.;383.809;1E33FA6F;2024-10-01 08:19:00;11 - 129;#NULO#;2024-10-06 08:00:01;2024-10-06 17:02:15;18;2024-10-06 17:04:12;-1;-1
